district_code,representative,representative_affiliation,state_affiliation,efficiency_gap,absolute_compactness,state_compactness,country_compactness,compactness_rank,redistricting_control,gerrymander_score,gerrymander_rank
TX-13,Mac Thornberry,Republican,14,R0.13290300990030032,0.2687511412315814,0.19836267480331815,0.24673160170753855,272,RL,44,175
TX-14,Randy K. Weber Sr.,Republican,14,R0.13290300990030032,0.0925181807888367,0.19836267480331815,0.24673160170753855,40,RL,52,30
TX-15,Vicente Gonzalez,Democrat,14,R0.13290300990030032,0.1264465189168561,0.19836267480331815,0.24673160170753855,71,RL,51,43
TX-16,Beto O’Rourke,Democrat,14,R0.13290300990030032,0.5723772038093129,0.19836267480331815,0.24673160170753855,430,RL,28,420
TX-17,Bill Flores,Republican,14,R0.13290300990030032,0.20434505468425504,0.19836267480331815,0.24673160170753855,174,RL,47,107
TX-18,Sheila Jackson Lee,Democrat,14,R0.13290300990030032,0.08307220084727361,0.19836267480331815,0.24673160170753855,27,RL,53,22
TX-19,Jodey C. Arrington,Republican,14,R0.13290300990030032,0.28140019008082157,0.19836267480331815,0.24673160170753855,290,RL,43,197
TX-20,Joaquin Castro,Democrat,14,R0.13290300990030032,0.1865060650420346,0.19836267480331815,0.24673160170753855,151,RL,48,88
TX-21,Lamar Smith,Republican,14,R0.13290300990030032,0.19702608617411305,0.19836267480331815,0.24673160170753855,167,RL,47,107
TX-22,Pete Olson,Republican,14,R0.13290300990030032,0.1536765464816575,0.19836267480331815,0.24673160170753855,107,RL,49,72
TX-23,Will Hurd,Republican,14,R0.13290300990030032,0.23002098898134613,0.19836267480331815,0.24673160170753855,216,RL,45,157
TX-24,Kenny Marchant,Republican,14,R0.13290300990030032,0.2228150302768343,0.19836267480331815,0.24673160170753855,202,RL,46,127
TX-25,Roger Williams,Republican,14,R0.13290300990030032,0.16287005973573038,0.19836267480331815,0.24673160170753855,117,RL,49,72
TX-26,Michael C. Burgess,Republican,14,R0.13290300990030032,0.4712853782460508,0.19836267480331815,0.24673160170753855,412,RL,33,393
TX-27,Blake Farenthold,Republican,14,R0.13290300990030032,0.06834408385291557,0.19836267480331815,0.24673160170753855,16,RL,54,15
TX-28,Henry Cuellar,Democrat,14,R0.13290300990030032,0.13930479915973062,0.19836267480331815,0.24673160170753855,88,RL,50,53
TX-29,Gene Green,Democrat,14,R0.13290300990030032,0.08950548280568218,0.19836267480331815,0.24673160170753855,37,RL,53,22
TX-30,Eddie Bernice Johnson,Democrat,14,R0.13290300990030032,0.19101963767486208,0.19836267480331815,0.24673160170753855,155,RL,47,107
TX-31,John R. Carter,Republican,14,R0.13290300990030032,0.4589596321064224,0.19836267480331815,0.24673160170753855,406,RL,34,379
TX-32,Pete Sessions,Republican,14,R0.13290300990030032,0.1332535165046851,0.19836267480331815,0.24673160170753855,79,RL,50,53
TX-33,Marc A. Veasey,Democrat,14,R0.13290300990030032,0.049585876550294436,0.19836267480331815,0.24673160170753855,7,RL,55,8
TX-34,Filemon Vela,Democrat,14,R0.13290300990030032,0.06136900584410995,0.19836267480331815,0.24673160170753855,13,RL,54,15
TX-35,Lloyd Doggett,Democrat,14,R0.13290300990030032,0.056573055294762295,0.19836267480331815,0.24673160170753855,10,RL,54,15
TX-36,Brian Babin,Republican,14,R0.13290300990030032,0.21233730900823541,0.19836267480331815,0.24673160170753855,188,RL,46,127
UT-1,Rob Bishop,Republican,4,R0.1678791889191525,0.2954889799397715,0.2805991322079736,0.24673160170753855,310,RL,43,197
UT-2,Chris Stewart,Republican,4,R0.1678791889191525,0.36997116604788327,0.2805991322079736,0.24673160170753855,367,RL,40,268
UT-3,John Curtis,Republican,4,R0.1678791889191525,0.20733047575623517,0.2805991322079736,0.24673160170753855,180,RL,48,88
UT-4,Mia B. Love,Republican,4,R0.1678791889191525,0.24960590708800434,0.2805991322079736,0.24673160170753855,249,RL,46,127
VA-1,Robert J. Wittman,Republican,3,R0.13325713125088456,0.20145145636019984,0.1850941001047798,0.24673160170753855,171,RA,47,107
VA-2,Scott Taylor,Republican,3,R0.13325713125088456,0.09338122469754068,0.1850941001047798,0.24673160170753855,42,RA,52,30
VA-3,Robert C. "Bobby" Scott,Democrat,3,R0.13325713125088456,0.24686856618178005,0.1850941001047798,0.24673160170753855,246,RA,45,157
VA-4,A. Donald McEachin,Democrat,3,R0.13325713125088456,0.2257938865876471,0.1850941001047798,0.24673160170753855,207,RA,46,127
VA-5,Thomas A. Garrett Jr.,Republican,3,R0.13325713125088456,0.16324245316257702,0.1850941001047798,0.24673160170753855,120,RA,49,72
VA-6,Bob Goodlatte,Republican,3,R0.13325713125088456,0.1757216368266931,0.1850941001047798,0.24673160170753855,137,RA,48,88
VA-7,Dave Brat,Republican,3,R0.13325713125088456,0.21179816319708905,0.1850941001047798,0.24673160170753855,187,RA,46,127
VA-8,Donald S. Beyer Jr.,Democrat,3,R0.13325713125088456,0.28701331363630206,0.1850941001047798,0.24673160170753855,301,RA,43,197
VA-9,H. Morgan Griffith,Republican,3,R0.13325713125088456,0.19186712143815945,0.1850941001047798,0.24673160170753855,156,RA,47,107
VA-10,Barbara Comstock,Republican,3,R0.13325713125088456,0.13515243371457933,0.1850941001047798,0.24673160170753855,82,RA,50,53
VA-11,Gerald E. Connolly,Democrat,3,R0.13325713125088456,0.10374484535001009,0.1850941001047798,0.24673160170753855,54,RA,52,30
VT-0,Peter Welch,Democrat,-1,N0,0.401468433623365,0.401468433623365,0.24673160170753855,384,null,0,429
WA-1,Suzan K. DelBene,Democrat,-2,D0.04382650842628965,0.22133639530794944,0.2162280646528268,0.24673160170753855,201,II,41,239
WA-2,Rick Larsen,Democrat,-2,D0.04382650842628965,0.026476289450304176,0.2162280646528268,0.24673160170753855,2,II,51,43
WA-3,Jaime Herrera Beutler,Republican,-2,D0.04382650842628965,0.257352370370578,0.2162280646528268,0.24673160170753855,257,II,39,298
WA-4,Dan Newhouse,Republican,-2,D0.04382650842628965,0.24139205716474305,0.2162280646528268,0.24673160170753855,241,II,40,268
WA-5,Cathy McMorris Rodgers,Republican,-2,D0.04382650842628965,0.4064976163417121,0.2162280646528268,0.24673160170753855,389,II,32,403
WA-6,Derek Kilmer,Democrat,-2,D0.04382650842628965,0.2815188790325719,0.2162280646528268,0.24673160170753855,292,II,38,329
WA-7,Pramila Jayapal,Democrat,-2,D0.04382650842628965,0.12969918552526724,0.2162280646528268,0.24673160170753855,74,II,46,127
WA-8,David G. Reichert,Republican,-2,D0.04382650842628965,0.19520492104812576,0.2162280646528268,0.24673160170753855,163,II,42,221
WA-9,Adam Smith,Democrat,-2,D0.04382650842628965,0.15848408917930512,0.2162280646528268,0.24673160170753855,112,II,44,175
WA-10,Denny Heck,Democrat,-2,D0.04382650842628965,0.2443188431077112,0.2162280646528268,0.24673160170753855,244,II,40,268
WI-1,Paul D. Ryan,Republican,2,R0.12108252917150107,0.33480586357972325,0.24189786878373684,0.24673160170753855,340,RL,39,298
WI-2,Mark Pocan,Democrat,2,R0.12108252917150107,0.43635512256475306,0.24189786878373684,0.24673160170753855,400,RL,34,379
WI-3,Ron Kind,Democrat,2,R0.12108252917150107,0.16930383878488472,0.24189786878373684,0.24673160170753855,130,RL,48,88
WI-4,Gwen Moore,Democrat,2,R0.12108252917150107,0.13808816395230916,0.24189786878373684,0.24673160170753855,86,RL,49,72
WI-5,F. James Sensenbrenner Jr.,Republican,2,R0.12108252917150107,0.2530227807685491,0.24189786878373684,0.24673160170753855,255,RL,43,197
WI-6,Glenn Grothman,Republican,2,R0.12108252917150107,0.22393014755299637,0.24189786878373684,0.24673160170753855,204,RL,45,157
WI-7,Sean P. Duffy,Republican,2,R0.12108252917150107,0.20024613889025653,0.24189786878373684,0.24673160170753855,170,RL,46,127
WI-8,Mike Gallagher,Republican,2,R0.12108252917150107,0.17943089417642216,0.24189786878373684,0.24673160170753855,142,RL,47,107
WV-1,David B. McKinley,Republican,3,R0.17053293221761823,0.14885421741944282,0.14657609234750238,0.24673160170753855,101,DL,52,30
WV-2,Alexander X. Mooney,Republican,3,R0.17053293221761823,0.09899336444784067,0.14657609234750238,0.24673160170753855,47,DL,54,15
WV-3,Evan H. Jenkins,Republican,3,R0.17053293221761823,0.1918806951752237,0.14657609234750238,0.24673160170753855,157,DL,49,72
WY-0,Liz Cheney,Republican,1,R0.1515744122395766,0.7743656819363077,0.7743656819363077,0.24673160170753855,435,null,0,429
